"","year","name","franchise","price","buyer","details","current_pic_url"
"56",1993,"Rockets","Houston Rockets",85,"Leslie Alexander","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/400px-Houston_Rockets.svg.png"
"125",1993,"Spurs","San Antonio Spurs",75,"Peter Holt","Transfer of Ownership","http://upload.wikimedia.org/wikipedia/en/thumb/a/a2/San_Antonio_Spurs.svg/250px-San_Antonio_Spurs.svg.png"
"97",1994,"Knicks","New York Knicks",1100,"Cablevision & ITT Corporation","Won Bid For Madison Square Garden, Knicks, Rangers & MSG Network","http://upload.wikimedia.org/wikipedia/en/thumb/d/d8/NewYorkKnicks.PNG/400px-NewYorkKnicks.PNG"
"54",1995,"Warriors","Golden State Warriors",95,"Christopher Cohan","Purchased Remaining 75%","http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png"
"82",1995,"Heat","Miami Heat",68,"Micky Arison","Bought Out Co-owners, Raised Share to 88%","http://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Miami_Heat_logo.svg/200px-Miami_Heat_logo.svg.png"
"87",1995,"Timberwolves","Minnesota Timberwolves",89,"Glen Taylor","Transfer of Ownership","http://upload.wikimedia.org/wikipedia/en/thumb/7/78/Minnesota_Timberwolves.svg/400px-Minnesota_Timberwolves.svg.png"
"33",1996,"Mavericks","Dallas Mavericks",125,"Ross Perot, Jr.","Purchased a Majority Stake","http://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/400px-Dallas_Mavericks_logo.svg.png"
"79",1996,"Grizzlies","Vancouver Grizzlies",125,"Arthur Griffiths","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/400px-Memphis_Grizzlies.svg.png"
"110",1996,"Sixers","Philadelphia 76ers",130,"Comcast","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Philadelphia_76ers_Logo.svg/495px-Philadelphia_76ers_Logo.svg.png"
"128",1996,"Raptors","Toronto Raptors",125,"John Bitove Jr.","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/7/75/Toronto_Raptors.svg/400px-Toronto_Raptors.svg.png"
"129",1996,"Raptors","Toronto Raptors",66,"John Bitove Jr.","Sold 39.5% Interest","http://upload.wikimedia.org/wikipedia/en/thumb/7/75/Toronto_Raptors.svg/400px-Toronto_Raptors.svg.png"
"130",1996,"Raptors","Toronto Raptors",66,"Allan Slaight","Purchased 39.5% of Team (added tothe 39.5% That He Already Owned)","http://upload.wikimedia.org/wikipedia/en/thumb/7/75/Toronto_Raptors.svg/400px-Toronto_Raptors.svg.png"
"95",1997,"Knicks","New York Knicks",300,"Cablevision","Bought Out ITT Corporation's Share","http://upload.wikimedia.org/wikipedia/en/thumb/d/d8/NewYorkKnicks.PNG/400px-NewYorkKnicks.PNG"
"22",1998,"Nets","New Jersey Nets",150,"Finn Wentworth, Stanley Gale, Raymond Chambers, Ray Katz","Purchase of Team","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png"
"118",1998,"Kings","Sacramento Kings",156,"Joe Maloof & Gavin Maloof","Transfer of Ownership [all Entities Cost 250m$] Purchased 53%, Incl. Arco Arena","http://upload.wikimedia.org/wikipedia/en/thumb/6/60/Sacramento_Kings.svg/400px-Sacramento_Kings.svg.png"
"131",1998,"Raptors","Toronto Raptors",125,"Maple Leaf","Total Deal For $400m and Included Air Canada Centre","http://upload.wikimedia.org/wikipedia/en/thumb/7/75/Toronto_Raptors.svg/400px-Toronto_Raptors.svg.png"
"78",1999,"Grizzlies","Vancouver Grizzlies",200,"Bill & Nancy Laurie","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/400px-Memphis_Grizzlies.svg.png"
"34",2000,"Mavericks","Dallas Mavericks",285,"Mark Cuban","Purchased a Majority Stake","http://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/400px-Dallas_Mavericks_logo.svg.png"
"37",2000,"Nuggets","Denver Nuggets",202,"Stan Kroenke","Deal Worth $450M Included NHL Avalanche and Pepsi Center","http://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/400px-Denver_Nuggets.svg.png"
"80",2000,"Grizzlies","Memphis Grizzlies",160,"Michael Heisley","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/400px-Memphis_Grizzlies.svg.png"
"99",2001,"Thunder","Seattle SuperSonics",200,"Howard Schultz","Transfer of Ownership","http://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/400px-Oklahoma_City_Thunder.svg.png"
"7",2002,"Celtics","Boston Celtics",360,"Wycliffe Grousbeck, Stephen Pagliuca, & H. Irving Grousbeck","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png"
"25",2003,"Bobcats","Charlotte Bobcats",300,"Robert Johnson","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/1/15/Charlotte_Bobcats_2012.png/400px-Charlotte_Bobcats_2012.png"
"4",2004,"Hawks","Atlanta Hawks",208,"Atlanta Spirit, LLC  (9 partners)","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Atlanta_Hawks.svg/200px-Atlanta_Hawks.svg.png"
"20",2004,"Nets","New Jersey Nets",300,"Group headed by Bruce Ratner","Transfer of Ownership","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png"
"112",2004,"Suns","Phoenix Suns",401,"Robert Sarver","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Phoenix_Suns.svg/400px-Phoenix_Suns.svg.png"
"31",2005,"Cavaliers","Cleveland Cavaliers",375,"Dan Gilbert","Became Majority Owner","http://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Cleveland_Cavaliers_2010.svg/400px-Cleveland_Cavaliers_2010.svg.png"
"100",2006,"Thunder","Oklahoma City Thunder",350,"Clay Bennett","Purchased Team (and WNBA Storm)","http://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/400px-Oklahoma_City_Thunder.svg.png"
"91",2007,"Pelicans","New Orleans Hornets",248,"George Shinn & George Chouest","Transfer of Minority Ownership","http://upload.wikimedia.org/wikipedia/en/2/21/New_Orleans_Pelicans.png"
"24",2009,"Bobcats","Charlotte Bobcats",275,"Michael Jordan","Increased His Small Stake to a Majority One,deal Included Debt","http://upload.wikimedia.org/wikipedia/en/thumb/1/15/Charlotte_Bobcats_2012.png/400px-Charlotte_Bobcats_2012.png"
"21",2010,"Nets","New Jersey Nets",261,"Mikhail Prokhorov","Transfer of 80% Ownership of Team, 45% of Barclays Center","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png"
"53",2010,"Warriors","Golden State Warriors",450,"Peter Guber & Joe Lacob","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png"
"90",2010,"Pelicans","New Orleans Hornets",300,"NBA","Purchase of Team","http://upload.wikimedia.org/wikipedia/en/2/21/New_Orleans_Pelicans.png"
"139",2010,"Wizards","Washington Wizards",550,"Ted Leonsis","Purchased the Remaining 56% Including Debt","http://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Washington_Wizards_Logo.svg/400px-Washington_Wizards_Logo.svg.png"
"47",2011,"Pistons","Detroit Pistons",400,"Tom Gores","Bought the Team Along With Palace & gte theater, the Festival","http://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Detroit_Pistons_logo.svg/400px-Detroit_Pistons_logo.svg.png"
"107",2011,"Sixers","Philadelphia 76ers",280,"Josh Harris, David Blitzer, Jason Levien, Michael Rubin, Erick Thohir, Will & Jada Smith","Group Led by Joshua Harris Bought 90% Share of the Team, Comcast & Ed Snider Retain 10%","http://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Philadelphia_76ers_Logo.svg/495px-Philadelphia_76ers_Logo.svg.png"
"76",2012,"Grizzlies","Memphis Grizzlies",377,"Robert Pera","Group includes Peyton Manning, Justin Timberlake, Penny Hardaway, & J.R. Hyde","http://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/400px-Memphis_Grizzlies.svg.png"
"88",2012,"Pelicans","New Orleans Hornets",338,"Tom Benson","Purchase of Team","http://upload.wikimedia.org/wikipedia/en/2/21/New_Orleans_Pelicans.png"
"122",2013,"Kings","Sacramento Kings",534,"Vivek Ranadive","Group includes Irwin Jacobs","http://upload.wikimedia.org/wikipedia/en/thumb/6/60/Sacramento_Kings.svg/400px-Sacramento_Kings.svg.png"
