player,agency,agent,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
Hidayet Turkoglu,Williams & Connolly,Jim Tanner,"$12,000,000 ",$0 ,$0 ,$0 ,$0 
Ian Mahinmi,Comsport,Bouna Ndiaye,"$4,000,000 ","$4,000,000 ","$4,000,000 ",$0 ,$0 
Iman Shumpert,Relativity Sports,Dan Fegan,"$1,797,600 ","$2,761,113 ","$3,898,691 ",$0 ,$0 
Isaiah Canaan,Priority Sports & Entertainment,Mark Bartelstein,"$570,515 ","$816,482 ","$947,276 ",$0 ,$0 
Isaiah Thomas,ASM Sports,Andy Miller,"$884,293 ",$0 ,$0 ,$0 ,$0 
Ishmael Smith,IAM Sports,Raymond Brothers,"$985,000 ","$985,000 ",$0 ,$0 ,$0 
J.J. Hickson,ASM Sports,Andy Miller,"$5,150,000 ","$5,381,750 ","$5,613,500 ",$0 ,$0 
J.J. Redick,Wasserman Media Group,Arn Tellem,"$6,500,000 ","$6,792,500 ","$7,085,000 ","$7,377,500 ",$0 
J.R. Smith,Creative Artists Agency,Leon Rose,TBD,TBD,TBD,TBD,TBD
Jae Crowder,Alliance Sports Management,Glenn Schwartzman,"$788,872 ",$0 ,$0 ,$0 ,$0 
Jamaal Franklin,Impact Sports Basketball,Brian Elfus,"$535,000 ","$816,482 ","$947,276 ",$0 ,$0 
Jamal Crawford,ASM Sports,Andy Miller,"$5,225,000 ","$5,450,000 ","$5,675,000 ",$0 ,$0 
James Anderson,ASM Sports,Andy Miller,"$916,099 ",$0 ,$0 ,$0 ,$0 
James Harden,Landmark Sports Agency,Rob Pelinka,"$13,668,750 ","$14,693,906 ","$15,719,062 ","$16,744,218 ","$17,769,374 "
James Johnson,Priority Sports & Entertainment,Mark Bartelstein,"$947,907 ",$0 ,$0 ,$0 ,$0 
James Jones,Bell Management,Joel Bell,"$1,500,000 ",$0 ,$0 ,$0 ,$0 
James Southerland,Priority Sports & Entertainment,Mark Bartelstein,TBD,TBD,TBD,TBD,TBD
Jan Vesely,Wasserman Media Group,Arn Tellem,"$3,524,880 ","$4,469,547 ","$5,962,375 ",$0 ,$0 
Jannero Pargo,Priority Sports & Entertainment,Mark Bartelstein,"$1,399,507 ",$0 ,$0 ,$0 ,$0 
Jared Cunningham,Excel Sports Management,Jeff Schwartz,"$1,208,400 ","$1,260,360 ","$2,204,369 ","$3,222,787 ",$0 
Jared Dudley,Priority Sports & Entertainment,Mark Bartelstein,"$4,250,000 ","$4,250,000 ","$4,250,000 ",$0 ,$0 
Jared Sullinger,FAME,David Falk,"$1,365,720 ","$1,424,520 ","$2,269,260 ","$3,270,003 ",$0 
Jarrett Jack,Excel Sports Management,Jeff Schwartz,"$6,300,000 ","$6,300,000 ","$6,300,000 ","$6,300,000 ",$0 
Jarvis Varnado,Impact Sports Basketball,Mitch Frankel,"$788,872 ","$1,115,243 ",$0 ,$0 ,$0 
Jason Maxiell,ASM Sports,Andy Miller,"$2,500,000 ","$2,500,000 ",$0 ,$0 ,$0 
Jason Richardson,Relativity Sports,Dan Fegan,"$6,204,250 ","$6,601,125 ",$0 ,$0 ,$0 
Jason Smith,Priority Sports & Entertainment,Mark Bartelstein,"$2,500,000 ",$0 ,$0 ,$0 ,$0 
Jason Terry,Wasserman Media Group,Arn Tellem,"$5,225,000 ","$5,450,000 ",$0 ,$0 ,$0 
Jason Thompson,Creative Artists Agency,Leon Rose,"$5,643,750 ","$6,037,500 ","$6,431,250 ","$6,825,000 ",$0 
JaVale McGee,Wasserman Media Group,BJ Armstrong,"$10,750,000 ","$11,250,000 ","$12,000,000 ",$0 ,$0 
Jeff Adrien,Priority Sports & Entertainment,Mark Bartelstein,"$916,099 ",$0 ,$0 ,$0 ,$0 
Jeff Ayres,Impact Sports Basketball,Mitch Frankel,"$1,750,000 ","$1,828,750 ",$0 ,$0 ,$0 
Jeff Green,FAME,David Falk,"$8,700,000 ","$9,200,000 ","$9,200,000 ",$0 ,$0 
Jeff Teague,ASM Sports,Andy Miller,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 
