,hometown,longitude,latitude
446,"Gent, Belgium",3.73038,51.053468
447,"Georgetown, Guyana",-58.154831,6.804611
448,"Germantown, PA, USA",-75.1749671,40.028521
449,"Gibson, NC, USA",-79.6106104,34.7590477
450,"Gisborne, New Zealand",178.017649,-38.662334
451,"Glen Ridge, NJ, USA",-74.2037566,40.805378
452,"Glendive, MT, USA",-104.7107931,47.106401
453,"Glendora, CA, USA",-117.865339,34.1361187
454,"Glens Falls, NY, USA",-73.6440058,43.3095164
455,"Gogrial, South Sudan",28.1,8.53
456,"Golden Valley, NC, USA",-81.7568253,35.5678038
457,"Goldsboro, NC, USA",-77.9927651,35.3848841
458,"Gonvick, MN, USA",-95.5136248,47.7374567
459,"Goodwater, AL, USA",-86.0533013,33.065675
460,"Grand Island, NE, USA",-98.3420118,40.9263957
461,"Grand Rapids, MI, USA",-85.6680863,42.9633599
462,"Grand View, IA, USA",-91.1884837,41.2758617
463,"Grandview, MO, USA",-94.5330096,38.8858407
464,"Granite City, IL, USA",-90.1487199,38.7014389
465,"Grant County, IN, USA",-85.684578,40.4730605
466,"Gray, GA, USA",-83.5337816,33.0095802
467,"Great Falls, MT, USA",-111.295197,47.50806
468,"Greeley, CO, USA",-104.7091322,40.4233142
469,"Green Bay, WI, USA",-88.019826,44.519159
470,"Greenbrae, CA, USA",-122.5246979,37.9485354
471,"Greencastle, IN, USA",-86.8647316,39.6444898
472,"Greenfield, OH, USA",-83.3826928,39.3520084
473,"Greensboro, NC, USA",-79.7919754,36.0726354
474,"Greenville County, VA, USA",-77.6077865,36.6056886
475,"Greenville, MS, USA",-91.0377029,33.399661
476,"Greenville, SC, USA",-82.3940104,34.8526176
477,"Greenwood, MS, USA",-90.1795281,33.5162315
478,"Gridley, CA, USA",-121.6935833,39.3637773
479,"Griggsville, IL, USA",-90.7245722,39.7089361
480,"Gulfport, MS, USA",-89.0928155,30.3674198
481,"Haarlem, Netherlands",4.635956,52.383626
482,"Hacienda Heights, CA, USA",-117.9686755,33.9930677
483,"Hagerstown, MD, USA",-77.7199932,39.6417629
484,"Haines City, FL, USA",-81.6178536,28.1141841
485,"Halifax, NC, USA",-77.5894199,36.328486
486,"Hamburg, AR, USA",-91.7976285,33.2281757
487,"Hamilton, OH, USA",-84.5613355,39.3995008
488,"Hammond, IN, USA",-87.5000412,41.5833688
489,"Hampraca, MI, USA",-85.6023643,44.3148443
490,"Hampton, IA, USA",-93.2103402,42.7425009
491,"Hampton, VA, USA",-76.3452218,37.0298687
492,"Hamtramck, MI, USA",-83.0496438,42.3928151
493,"Hanford, CA, USA",-119.6456844,36.3274502
494,"Hania, Greece",24.0180367,35.5138298
495,"Harbin Manchuria, China",126.6584653,45.7498484
496,"Harbor City, CA, USA",-118.2965084,33.7906551
497,"Hardinsburg, KY, USA",-86.4605337,37.7800591
498,"Harlan, KY, USA",-83.321848,36.8431441
499,"Harlem, NY, USA",-73.9447994,40.8113824
500,"Harlingen, TX, USA",-97.6961026,26.1906306
501,"Harper, KS, USA",-98.0258945,37.2866863
502,"Harpersville, AL, USA",-86.4380357,33.3439995
503,"Harrah, OK, USA",-97.1636408,35.4895085
504,"Harrisburg, PA, USA",-76.8844179,40.2737002
505,"Harrisonburg, VA, USA",-78.8689155,38.4495688
506,"Hartford, CT, USA",-72.6850932,41.7637111
507,"Hartselle, AL, USA",-86.9352842,34.4434282
508,"Harvey, IL, USA",-87.6467131,41.6100344
509,"Hattiesburg, MS, USA",-89.2903392,31.3271189
