player,player_id,draft_year,pick,round,position_id,college,draft_team_id,location_type,location,city,state,state_name,country
Kevin Williams,WillKe98,2003,9,1,DT,Oklahoma St.,MIN,birth,"Arkadelphia, AR",Arkadelphia,AR,Arkansas,USA
Terrell Suggs,SuggTe99,2003,10,1,LB,Arizona St.,BAL,birth,"Minneapolis, MN",Minneapolis,MN,Minnesota,USA
Marcus Trufant,TrufMa20,2003,11,1,DB,Washington St.,SEA,birth,"Tacoma, WA",Tacoma,WA,Washington,USA
Jimmy Kennedy,KennJi21,2003,12,1,DT,Penn St.,STL,birth,"Yonkers, NY",Yonkers,NY,New York,USA
Ty Warren,WarrTy20,2003,13,1,DE,Texas A&M,NWE,birth,"Bryan, TX",Bryan,TX,Texas,USA
Michael Haynes,HaynMi20,2003,14,1,DE,Penn St.,CHI,birth,"Brooklyn, NY",Brooklyn,NY,New York,USA
Jerome McDougle,McDoJe20,2003,15,1,DE,Miami (FL),PHI,birth,"Pompano Beach, FL",Pompano Beach,FL,Florida,USA
Troy Polamalu,PolaTr99,2003,16,1,DB,USC,PIT,birth,"Garden Grove, CA",Garden Grove,CA,California,USA
Bryant Johnson,JohnBr02,2003,17,1,WR,Penn St.,ARI,birth,"Baltimore, MD",Baltimore,MD,Maryland,USA
Calvin Pace,PaceCa20,2003,18,1,DE,Wake Forest,ARI,birth,"Detroit, MI",Detroit,MI,Michigan,USA
Kyle Boller,BollKy00,2003,19,1,QB,California,BAL,birth,"Burbank, CA",Burbank,CA,California,USA
George Foster,FostGe20,2003,20,1,T,Georgia,DEN,birth,"Macon, GA",Macon,GA,Georgia,USA
Jeff Faine,FainJe20,2003,21,1,C,Notre Dame,CLE,birth,"Milwaukie, OR",Milwaukie,OR,Oregon,USA
Rex Grossman,GrosRe00,2003,22,1,QB,Florida,CHI,birth,"Bloomington, IN",Bloomington,IN,Indiana,USA
Willis McGahee,McGaWi00,2003,23,1,RB,Miami (FL),BUF,birth,"Miami, FL",Miami,FL,Florida,USA
Dallas Clark,ClarDa00,2003,24,1,TE,Iowa,IND,birth,"Livermore, IA",Livermore,IA,Iowa,USA
William Joseph,JoseWi20,2003,25,1,DT,Miami (FL),NYG,birth,"Miami, FL",Miami,FL,Florida,USA
Kwame Harris,HarrKw20,2003,26,1,T,Stanford,SFO,birth,"Kingston, Jamaica",Kingston,,,Jamaica
Larry Johnson,JohnLa00,2003,27,1,RB,Penn St.,KAN,birth,"State College, PA",State College,PA,Pennsylvania,USA
