team,player,player_off_roster_13,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,total
Kings,Jimmer Fredette,FALSE,2439840,3110796,4236904,NA,NA,NA,5550636
Kings,Greivis Vasquez,FALSE,2150188,3203780,NA,NA,NA,NA,2150188
Kings,Isaiah Thomas,FALSE,884293,1148163,NA,NA,NA,NA,884293
Kings,Aaron Brooks,TRUE,674194,NA,NA,NA,NA,NA,674194
Kings,Ray McCallum,FALSE,524616,816482,947276,1215696,NA,NA,2288374
Kings,Trent Lockett,FALSE,490180,816482,1147276,NA,NA,NA,1306662
Knicks,Amar'e Stoudemire,FALSE,21679893,23410988,NA,NA,NA,NA,45090881
Knicks,Carmelo Anthony,FALSE,21388954,23333405,NA,NA,NA,NA,44722359
Knicks,Tyson Chandler,FALSE,14100538,14596888,NA,NA,NA,NA,28697426
Knicks,Andrea Bargnani,FALSE,11862500,11500000,NA,NA,NA,NA,23362500
Knicks,J.R. Smith,FALSE,5565000,5982375,6399750,NA,NA,NA,17947125
Knicks,Raymond Felton,FALSE,3637073,3793693,3950313,NA,NA,NA,11381079
Knicks,Iman Shumpert,FALSE,1703760,2616975,3695169,NA,NA,NA,4320735
Knicks,Pablo Prigioni,FALSE,1591350,1662961,1734572,NA,NA,NA,4988883
Knicks,Metta World Peace,FALSE,1590000,1661550,NA,NA,NA,NA,3251550
Knicks,Tim Hardaway Jr,FALSE,1196760,1250640,1304520,2281605,3335707,NA,6033525
Knicks,Kenyon Martin,FALSE,884293,NA,NA,NA,NA,NA,884293
Knicks,Jeremy Tyler,FALSE,884293,948163,NA,NA,NA,NA,1832456
Knicks,Beno Udrih,FALSE,884293,NA,NA,NA,NA,NA,884293
Knicks,C.J. Leslie,FALSE,490180,816482,1147276,NA,NA,NA,1306662
Knicks,Chris Smith,FALSE,490180,816482,1147276,NA,NA,NA,1306662
Lakers,Kobe Bryant,FALSE,30453805,NA,NA,NA,NA,NA,30453805
Lakers,Pau Gasol,FALSE,19285850,NA,NA,NA,NA,NA,19285850
Lakers,Steve Nash,FALSE,9300500,9701000,NA,NA,NA,NA,19001500
Lakers,Steve Blake,FALSE,4000000,NA,NA,NA,NA,NA,4000000
Lakers,Jordan Hill,FALSE,3500000,NA,NA,NA,NA,NA,3500000
Lakers,Chris Kaman,FALSE,3183000,NA,NA,NA,NA,NA,3183000
Lakers,Jodie Meeks,FALSE,1550000,NA,NA,NA,NA,NA,1550000
Lakers,Chris Duhon,TRUE,1500000,NA,NA,NA,NA,NA,1500000
Lakers,Nick Young,FALSE,1106942,1227985,NA,NA,NA,NA,2334927
Lakers,Jordan Farmar,FALSE,884293,NA,NA,NA,NA,NA,884293
Lakers,Xavier Henry,FALSE,884293,NA,NA,NA,NA,NA,884293
Lakers,Wesley Johnson,FALSE,884293,NA,NA,NA,NA,NA,884293
Lakers,Shawne Williams,FALSE,884293,NA,NA,NA,NA,NA,884293
Lakers,Robert Sacre,FALSE,788872,915243,981348,NA,NA,NA,2685463
Lakers,Elias Harris,FALSE,490180,816482,1147276,NA,NA,NA,1306662
Magic,Hidayet Turkoglu,FALSE,12000000,NA,NA,NA,NA,NA,12000000
Magic,Jameer Nelson,FALSE,8600000,8000000,NA,NA,NA,NA,16600000
Magic,Arron Afflalo,FALSE,7500000,7500000,7500000,NA,NA,NA,22500000
Magic,Glen Davis,FALSE,6400000,6600000,NA,NA,NA,NA,13000000
Magic,Victor Oladipo,FALSE,4763760,4978200,5192520,6552961,8551613,NA,21487441
Magic,Al Harrington,TRUE,3574300,3804900,NA,NA,NA,NA,7379200
Magic,Quentin Richardson,TRUE,2808600,NA,NA,NA,NA,NA,2808600
Magic,Jason Maxiell,FALSE,2500000,2500000,NA,NA,NA,NA,5000000
Magic,Maurice Harkless,FALSE,1809840,1887840,2894059,4045894,NA,NA,6591739
Magic,Nikola Vucevic,FALSE,1793520,2751260,3865520,NA,NA,NA,4544780
Magic,Tobias Harris,FALSE,1545840,2380594,3394726,NA,NA,NA,3926434
Magic,Andrew Nicholson,FALSE,1482000,1545840,2380594,3394726,NA,NA,5408434
Magic,Ronnie Price,FALSE,1265977,1316809,NA,NA,NA,NA,2582786
Magic,E'Twaun Moore,FALSE,884293,1148163,NA,NA,NA,NA,884293
Magic,Doron Lamb,FALSE,788872,915243,1181348,NA,NA,NA,1704115
Magic,Kyle O'Quinn,FALSE,788872,915243,1181348,NA,NA,NA,1704115
Mavericks,Dirk Nowitzki,FALSE,22721381,NA,NA,NA,NA,NA,22721381
Mavericks,Shawn Marion,FALSE,9316796,NA,NA,NA,NA,NA,9316796
Mavericks,Monta Ellis,FALSE,8000000,8360000,8720000,NA,NA,NA,25080000
Mavericks,Jose Calderon,FALSE,6791570,7097191,7402812,7708427,NA,NA,29000000
Mavericks,Brandan Wright,FALSE,5000000,5000000,NA,NA,NA,NA,10000000
Mavericks,Samuel Dalembert,FALSE,3700748,3867282,NA,NA,NA,NA,7568030
Mavericks,Vince Carter,FALSE,3180000,NA,NA,NA,NA,NA,3180000
Mavericks,Wayne Ellington,FALSE,2652000,2771340,NA,NA,NA,NA,5423340
Mavericks,Shane Larkin,FALSE,1536960,1606080,1675320,2576642,3656255,NA,7395002
Mavericks,DeJuan Blair,FALSE,884293,NA,NA,NA,NA,NA,884293
Mavericks,Devin Harris,FALSE,884293,NA,NA,NA,NA,NA,884293
Mavericks,Jae Crowder,FALSE,788872,915243,1181348,NA,NA,NA,1704115
Mavericks,Bernard James,FALSE,788872,1115243,NA,NA,NA,NA,788872
Mavericks,Fab Melo,FALSE,788872,915243,1181348,NA,NA,NA,1704115
Mavericks,Ricky Ledo,FALSE,544000,816482,947276,1015696,NA,NA,3323454
Mavericks,Gal Mekel,FALSE,490180,816482,947276,1215696,NA,NA,2253938
Nets,Joe Johnson,FALSE,21466718,23180790,24894863,NA,NA,NA,69542371
Nets,Deron Williams,FALSE,18466130,19754465,21042800,22331135,NA,NA,81594530
Nets,Paul Pierce,FALSE,15333334,NA,NA,NA,NA,NA,15333334
Nets,Brook Lopez,FALSE,14693906,15719063,16744218,NA,NA,NA,47157187
Nets,Kevin Garnett,FALSE,12433735,12000000,NA,NA,NA,NA,24433735
Nets,Jason Terry,FALSE,5625313,5850313,NA,NA,NA,NA,11475626
Nets,Mirza Teletovic,FALSE,3229050,3368100,4210125,NA,NA,NA,6597150
Nets,Andrei Kirilenko,FALSE,3183000,3326235,NA,NA,NA,NA,6509235
Nets,Reggie Evans,FALSE,1695635,1768653,NA,NA,NA,NA,3464288
Nets,Andray Blatche,FALSE,1375604,1437506,NA,NA,NA,NA,2813110
Nets,Mason Plumlee,FALSE,1298640,1357080,1415520,2328530,3371712,NA,6399770
Nets,Alan Anderson,FALSE,947907,1063384,NA,NA,NA,NA,2011291
Nets,Shaun Livingston,FALSE,884293,NA,NA,NA,NA,NA,884293
Nets,Tornike Shengelia,FALSE,788872,1115243,NA,NA,NA,NA,788872
Nets,Tyshawn Taylor,FALSE,788872,1115243,NA,NA,NA,NA,788872
Nuggets,Ty Lawson,FALSE,10786517,11595506,12404495,13213482,NA,NA,48000000
Nuggets,JaVale McGee,FALSE,10750000,11250000,12000000,NA,NA,NA,34000000
Nuggets,Danilo Gallinari,FALSE,10146925,10854850,11559225,NA,NA,NA,32561000
Nuggets,Wilson Chandler,FALSE,6344164,6757913,7171662,NA,NA,NA,20273739
Nuggets,J.J. Hickson,FALSE,5150000,5381750,5613500,NA,NA,NA,16145250
Nuggets,Andre Miller,FALSE,5000000,4625000,NA,NA,NA,NA,9625000
Nuggets,Timofey Mozgov,FALSE,4400000,4650000,4950000,NA,NA,NA,14000000
Nuggets,Darrell Arthur,FALSE,3231683,3457149,NA,NA,NA,NA,6688832
Nuggets,Randy Foye,FALSE,3000000,3000000,3135000,NA,NA,NA,9135000
Nuggets,Nate Robinson,FALSE,2016000,2106720,NA,NA,NA,NA,4122720
Nuggets,Anthony Randolph,FALSE,1750000,1825359,NA,NA,NA,NA,3575359
Nuggets,Evan Fournier,FALSE,1422720,1483920,2288205,3278997,NA,NA,5194845
Nuggets,Kenneth Faried,FALSE,1367640,2249768,3257664,NA,NA,NA,3617408
Nuggets,Jordan Hamilton,FALSE,1169880,2109294,3113317,NA,NA,NA,3279174
Nuggets,Quincy Miller,FALSE,788872,915243,1181348,NA,NA,NA,1704115
Pacers,Roy Hibbert,FALSE,14283844,14898938,15514031,NA,NA,NA,44696813
Pacers,Danny Granger,FALSE,14021788,NA,NA,NA,NA,NA,14021788
Pacers,David West,FALSE,12000000,12000000,12600000,NA,NA,NA,36600000
Pacers,George Hill,FALSE,8000000,8000000,8000000,8000000,NA,NA,32000000
Pacers,Luis Scola,FALSE,4508504,4868499,NA,NA,NA,NA,9377003
Pacers,Ian Mahinmi,FALSE,4000000,4000000,4000000,NA,NA,NA,12000000
Pacers,Paul George,FALSE,3282003,4470088,NA,NA,NA,NA,3282003
Pacers,Chris Copeland,FALSE,3000000,3135000,3918750,NA,NA,NA,6135000
Pacers,C.J. Watson,FALSE,2016000,2077000,NA,NA,NA,NA,4093000
Pacers,Solomon Hill,FALSE,1246680,1302840,1358880,2306019,3355258,NA,6214419
Pacers,Lance Stephenson,FALSE,1005000,NA,NA,NA,NA,NA,1005000
Pacers,Donald Sloan,FALSE,884293,948163,NA,NA,NA,NA,1832456
Pacers,Orlando Johnson,FALSE,788872,915243,1181348,NA,NA,NA,1704115
Pacers,Ron Howard,FALSE,490180,1016482,NA,NA,NA,NA,490180
Pelicans,Eric Gordon,FALSE,14283844,14898938,15514031,NA,NA,NA,44696813
Pelicans,Tyreke Evans,FALSE,11796247,11265416,10734586,10203755,NA,NA,44000004
Pelicans,Jrue Holiday,FALSE,9713484,10404495,11095507,11786518,NA,NA,43000004
Pelicans,Ryan Anderson,FALSE,8308500,8491500,8500000,NA,NA,NA,25300000
Pelicans,Anthony Davis,FALSE,5375760,5607240,7070730,9191949,NA,NA,18053730
Pelicans,Al-Farouq Aminu,FALSE,3749602,NA,NA,NA,NA,NA,3749602
Pelicans,Greg Stiemsma,FALSE,2676000,NA,NA,NA,NA,NA,2676000
Pelicans,Jason Smith,FALSE,2500000,NA,NA,NA,NA,NA,2500000
Pelicans,Austin Rivers,FALSE,2339040,2439840,3110796,4236904,NA,NA,7889676
Pelicans,Anthony Morrow,FALSE,1027424,1145685,NA,NA,NA,NA,2173109
Pelicans,Lance Thomas,FALSE,884293,948163,NA,NA,NA,NA,1832456
Pelicans,Darius Miller,FALSE,788872,1115243,NA,NA,NA,NA,788872
Pelicans,Brian Roberts,FALSE,788872,1115243,NA,NA,NA,NA,788872
Pelicans,Arinze Onuaku,FALSE,490180,816482,1147276,NA,NA,NA,1306662
Pelicans,Jeff Withey,FALSE,490180,816482,1147276,NA,NA,NA,1306662
Pistons,Josh Smith,FALSE,13500000,13500000,13500000,13500000,NA,NA,54000000
Pistons,Charlie Villanueva,FALSE,8580000,NA,NA,NA,NA,NA,8580000
Pistons,Rodney Stuckey,FALSE,8500000,NA,NA,NA,NA,NA,8500000
Pistons,Brandon Jennings,FALSE,7655503,8000000,8344497,NA,NA,NA,24000000
Pistons,Jonas Jerebko,FALSE,4500000,4500000,NA,NA,NA,NA,9000000
Pistons,Greg Monroe,FALSE,4086454,5479934,NA,NA,NA,NA,4086454
Pistons,Will Bynum,FALSE,2790343,2915908,NA,NA,NA,NA,5706251
Pistons,Kentavious Caldwell-Pope,FALSE,2653080,2772480,2891760,3678319,4958374,NA,11995639
Pistons,Chauncey Billups,FALSE,2500000,2500000,NA,NA,NA,NA,5000000
