Player_Name,Draft_Year,Player_Combine_Year,Player_Height_WO_Shoes,Player_Height_WO_Shoes_Inches,Player_Height_W_Shoes,Player_Height_W_Shoes_Inches,Player_Height,Player_Height_Inches,Player_Weight_LBS,Player_Wingspan,Player_Wingspan_Inches,Player_Reach,Player_Reach_Inches,Player_Bodyfat_Percent,Player_Hand_Length_Inches,Player_Hand_Width_Inches,Player_Vertical_No_Step,Player_Vertical_No_Step_Reach,Player_Vertical_No_Step_Reach_Inches,Player_Max_Vertical_Inches,Player_Max_Vertical_Reach,Player_Max_Vertical_Reach_Inches,Player_Bench_225,Player_Agility_Seconds,Player_Sprint_Three_Quarter_Court,Player_Rank,Pick,Player_DraftExpress_Profile,Player_DraftExpress_Stats,Player_DBPedia_URL,Player_DBPedia_Data,ID.Pick,Round,Round.Pick,Pick_2,Draft_Franchise,Postdraft_Franchise,Player_Drafted_From,Player_Birthday
Abdul Gaddy,2013,2013,"6'2.5""",74.5,NA,NA,6.30833081,75.7,195,"6'7.5""",79.5,"8'3.5""",99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Abdul-Gaddy-5241/,draftexpress.com/profile/Abdul-Gaddy-5241/stats,live.dbpedia.org/page/Abdul_Gaddy,live.dbpedia.org/data/Abdul_Gaddy.json,NA,NA,NA,NA,NA,NA,NA,NA
Achraf Yacoubou,2010,2010,"6'4""",76,"6'5""",77,6.43333076,77.2,202,"6'8""",80,"8'4""",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Achraf-Yacoubou-41038/,draftexpress.com/profile/Achraf-Yacoubou-41038/stats,live.dbpedia.org/page/Achraf_Yacoubou,live.dbpedia.org/data/Achraf_Yacoubou.json,NA,NA,NA,NA,NA,NA,NA,NA
Acie Law,2007,2007,"6'2""",74,"6'3.5""",75.5,6.29166415,75.5,186,"6'6.5""",78.5,"8'2""",98,0.056,NA,NA,29,"10'7""",127,34,"11'0""",132,8,11,3.22,32,11,draftexpress.com/profile/Acie-Law-577/,draftexpress.com/profile/Acie-Law-577/stats,live.dbpedia.org/page/Acie_Law,live.dbpedia.org/data/Acie_Law.json,1.11,1,11,11,Hawks,Hawks,Texas A&M,1/25/85
Adam Allenspach,2001,2001,"6'11.5""",83.5,"7'1.25""",85.25,7.104163825,85.25,259,"7'0.5""",84.5,"8'11""",107,NA,NA,NA,28.5,"11'3.5""",135.5,31,"11'6""",138,16,11.9,3.4,46,NA,NA,NA,live.dbpedia.org/page/Adam_Allenspach,live.dbpedia.org/data/Adam_Allenspach.json,NA,NA,NA,NA,NA,NA,NA,NA
Adam Haluska,2007,2007,"6'4.5""",76.5,"6'5.5""",77.5,6.45833075,77.5,210,"6'8.75""",80.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Adam-Haluska-405/,draftexpress.com/profile/Adam-Haluska-405/stats,live.dbpedia.org/page/Adam_Haluska,live.dbpedia.org/data/Adam_Haluska.json,2.13,2,13,43,Hornets,Hornets,Iowa,11/18/83
Adam Hanga,2009,2009,"6'5.5""",77.5,"6'6.5""",78.5,6.54166405,78.5,193,"6'8""",80,"8'7""",103,NA,NA,NA,NA,NA,NA,38,"11'9""",141,NA,NA,3.42,NA,NA,draftexpress.com/profile/Adam-Hanga-1350/,draftexpress.com/profile/Adam-Hanga-1350/stats,live.dbpedia.org/page/Adam_Hanga,live.dbpedia.org/data/Adam_Hanga.json,NA,NA,NA,NA,NA,NA,NA,NA
Adam Hanga,2011,2011,"6'5.56""",77.56,"6'6.74""",78.74,6.561664042,78.74,198,"6'7.53""",79.53,"8'4.79""",100.79,0.068,NA,NA,27.1,"10'7.89""",127.89,34.5,"11'3.29""",135.29,NA,NA,3.24,NA,59,draftexpress.com/profile/Adam-Hanga-1350/,draftexpress.com/profile/Adam-Hanga-1350/stats,live.dbpedia.org/page/Adam_Hanga,live.dbpedia.org/data/Adam_Hanga.json,2.29,2,29,59,Spurs,Spurs,ALBACOMP (HUNGARY),4/12/89
Adam Koch,2010,2010,"6'8""",80,NA,NA,6.76666396,81.2,229,"7'0.25""",84.25,"8'9.75""",105.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Adam-Koch-21541/,draftexpress.com/profile/Adam-Koch-21541/stats,live.dbpedia.org/page/Adam_Koch,live.dbpedia.org/data/Adam_Koch.json,NA,NA,NA,NA,NA,NA,NA,NA
Adam Lapeta,2009,2009,"7'0.25""",84.25,"7'1.5""",85.5,7.12499715,85.5,283,"7'1.5""",85.5,"9'3""",111,NA,NA,NA,24,"11'3""",135,30,"11'9""",141,NA,NA,3.71,NA,NA,draftexpress.com/profile/Adam-Lapeta-38999/,draftexpress.com/profile/Adam-Lapeta-38999/stats,live.dbpedia.org/page/Adam_Lapeta,live.dbpedia.org/data/Adam_Lapeta.json,NA,NA,NA,NA,NA,NA,NA,NA
Adam Morrison,2006,2006,"6'6.5""",78.5,"6'7.75""",79.75,6.645830675,79.75,198,"6'10""",82,"8'9""",105,0.068,NA,NA,25.5,"10'10.5""",130.5,30.5,"11'3.5""",135.5,11,11.46,3.37,59,3,draftexpress.com/profile/Adam-Morrison-174/,draftexpress.com/profile/Adam-Morrison-174/stats,live.dbpedia.org/page/Adam_Morrison,live.dbpedia.org/data/Adam_Morrison.json,1.3,1,3,3,Bobcats,Bobcats,Gonzaga,7/19/84
Adam Woodbury,2011,2011,NA,NA,"7'0""",84,6.9999972,84,222,"6'9""",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Adam-Woodbury-6444/,draftexpress.com/profile/Adam-Woodbury-6444/stats,live.dbpedia.org/page/Adam_Woodbury,live.dbpedia.org/data/Adam_Woodbury.json,NA,NA,NA,NA,NA,NA,NA,NA
Adebayo Akinkunle,1998,1998,"6'8.5""",80.5,NA,NA,6.80833061,81.7,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Adebayo-Akinkunle-45564/,draftexpress.com/profile/Adebayo-Akinkunle-45564/stats,live.dbpedia.org/page/Adebayo_Akinkunle,live.dbpedia.org/data/Adebayo_Akinkunle.json,NA,NA,NA,NA,NA,NA,NA,NA
Adjehi Baru,2010,2010,"6'9""",81,NA,NA,6.84999726,82.2,215,"7'5""",89,"9'1""",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Adjehi-Baru-6267/,draftexpress.com/profile/Adjehi-Baru-6267/stats,live.dbpedia.org/page/Adjehi_Baru,live.dbpedia.org/data/Adjehi_Baru.json,NA,NA,NA,NA,NA,NA,NA,NA
Adonal Foyle,1997,1997,"6'8.5""",80.5,NA,NA,6.80833061,81.7,263,"7'5.5""",89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,draftexpress.com/profile/Adonal-Foyle-2464/,draftexpress.com/profile/Adonal-Foyle-2464/stats,live.dbpedia.org/page/Adonal_Foyle,live.dbpedia.org/data/Adonal_Foyle.json,1.8,1,8,8,Warriors,Warriors,Colgate,3/9/75
Adonis Thomas,2009,2009,NA,NA,"6'5""",77,6.4166641,77,204,"7'0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Adonis-Thomas-5714/,draftexpress.com/profile/Adonis-Thomas-5714/stats,live.dbpedia.org/page/Adonis_Thomas,live.dbpedia.org/data/Adonis_Thomas.json,NA,NA,NA,NA,NA,NA,NA,NA
Adonis Thomas,2012,2012,NA,NA,"6'6""",78,6.4999974,78,241,"7'0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Adonis-Thomas-5714/,draftexpress.com/profile/Adonis-Thomas-5714/stats,live.dbpedia.org/page/Adonis_Thomas,live.dbpedia.org/data/Adonis_Thomas.json,NA,NA,NA,NA,NA,NA,NA,NA
Adonis Thomas,2013,2013,"6'4.75""",76.75,"6'5.75""",77.75,6.479164075,77.75,232,"7'1""",85,"8'3""",99,0.075,9.25,9.5,34.5,"11'1.5""",133.5,40.5,"11'7.5""",139.5,13,11.66,3.32,NA,NA,draftexpress.com/profile/Adonis-Thomas-5714/,draftexpress.com/profile/Adonis-Thomas-5714/stats,live.dbpedia.org/page/Adonis_Thomas,live.dbpedia.org/data/Adonis_Thomas.json,NA,NA,NA,NA,NA,NA,NA,NA
Adreian Payne,2009,2009,NA,NA,"6'9""",81,6.7499973,81,215,"7'0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Adreian-Payne-5286/,draftexpress.com/profile/Adreian-Payne-5286/stats,live.dbpedia.org/page/Adreian_Payne,live.dbpedia.org/data/Adreian_Payne.json,NA,NA,NA,NA,NA,NA,NA,NA
