league,team,player,player_off_roster_13_14,season,id_contract_type,salary
nba,Heat,Chris Bosh,FALSE,2015-2016,PO,22112500
nba,Heat,LeBron James,FALSE,2015-2016,PO,22112500
nba,Heat,Dwyane Wade,FALSE,2015-2016,PO,21655000
nba,Heat,Norris Cole,FALSE,2015-2016,QO,3036927
nba,Heat,Michael Beasley,TRUE,2013-2014,U,1027000
nba,Jazz,Richard Jefferson,FALSE,2013-2014,G,11046000
nba,Jazz,Andris Biedrins,FALSE,2013-2014,G,9000000
nba,Jazz,Marvin Williams,FALSE,2013-2014,G,7500000
nba,Jazz,Derrick Favors,FALSE,2013-2014,G,6008196
nba,Jazz,Enes Kanter,FALSE,2013-2014,G,4505280
nba,Jazz,Brandon Rush,FALSE,2013-2014,G,4000000
nba,Jazz,Gordon Hayward,FALSE,2013-2014,G,3452183
nba,Jazz,Trey Burke,FALSE,2013-2014,G,2438760
nba,Jazz,Alec Burks,FALSE,2013-2014,G,2202000
nba,Jazz,Jeremy Evans,FALSE,2013-2014,G,1660257
nba,Jazz,John Lucas III,FALSE,2013-2014,G,1600000
nba,Jazz,Rudy Gobert,FALSE,2013-2014,G,1078800
nba,Jazz,Jerel McNeal,FALSE,2013-2014,U,884293
nba,Jazz,Ian Clark,FALSE,2013-2014,U,490180
nba,Jazz,Derrick Favors,FALSE,2014-2015,QO,7882754
nba,Jazz,Enes Kanter,FALSE,2014-2015,TO,5694674
nba,Jazz,Gordon Hayward,FALSE,2014-2015,QO,4677708
nba,Jazz,Trey Burke,FALSE,2014-2015,G,2548560
nba,Jazz,Alec Burks,FALSE,2014-2015,TO,3034356
nba,Jazz,Jeremy Evans,FALSE,2014-2015,G,1794872
nba,Jazz,John Lucas III,FALSE,2014-2015,U,1600000
nba,Jazz,Rudy Gobert,FALSE,2014-2015,G,1127400
nba,Jazz,Jerel McNeal,FALSE,2014-2015,U,948163
nba,Jazz,Ian Clark,FALSE,2014-2015,U,816482
nba,Jazz,Enes Kanter,FALSE,2015-2016,QO,7471412
nba,Jazz,Trey Burke,FALSE,2015-2016,TO,2658240
nba,Jazz,Alec Burks,FALSE,2015-2016,QO,4175274
nba,Jazz,Rudy Gobert,FALSE,2015-2016,TO,1175880
nba,Jazz,Ian Clark,FALSE,2015-2016,QO,1147276
nba,Jazz,Trey Burke,FALSE,2016-2017,TO,3386598
nba,Jazz,Rudy Gobert,FALSE,2016-2017,TO,2121288
nba,Jazz,Trey Burke,FALSE,2017-2018,QO,4588840
nba,Jazz,Rudy Gobert,FALSE,2017-2018,QO,3145869
nba,Kings,Marcus Thornton,FALSE,2013-2014,G,8050000
nba,Kings,John Salmons,FALSE,2013-2014,G,7583000
nba,Kings,Carl Landry,FALSE,2013-2014,G,6500000
nba,Kings,Chuck Hayes,FALSE,2013-2014,G,5722500
