"","rank","team","value","value_change","revenue","operating_income","debt_percent","year","fname","player_expense","gate_receipt"
"127",11,"Houston Rockets",278,9,82,15.2,14,2004,"NBATeamValues04.xls",NA,NA
"128",12,"Sacramento Kings",275,6,102,-16.8,24,2004,"NBATeamValues04.xls",NA,NA
"129",13,"Washington Wizards",274,-2,98,28.5,24,2004,"NBATeamValues04.xls",NA,NA
"130",14,"Portland Trail Blazers",272,1,97,-85.1,50,2004,"NBATeamValues04.xls",NA,NA
"131",15,"Cleveland Cavaliers",258,16,72,3.8,12,2004,"NBATeamValues04.xls",NA,NA
"132",16,"Toronto Raptors",249,15,96,10.6,25,2004,"NBATeamValues04.xls",NA,NA
"133",17,"New Jersey Nets",244,12,94,-1.6,41,2004,"NBATeamValues04.xls",NA,NA
"134",18,"Utah Jazz",239,6,85,13.8,13,2004,"NBATeamValues04.xls",NA,NA
"135",19,"Miami Heat",236,-6,91,7.9,78,2004,"NBATeamValues04.xls",NA,NA
"136",20,"Minnesota Timberwolves",230,8,85,6.9,22,2004,"NBATeamValues04.xls",NA,NA
"137",21,"Memphis Grizzlies",227,14,63,-19.7,40,2004,"NBATeamValues04.xls",NA,NA
"138",22,"Denver Nuggets",218,4,75,7.9,26,2004,"NBATeamValues04.xls",NA,NA
"139",23,"New Orleans Hornets",216,25,80,21.9,35,2004,"NBATeamValues04.xls",NA,NA
"140",24,"Los Angeles Clippers",208,1,72,15.9,0,2004,"NBATeamValues04.xls",NA,NA
"141",25,"Atlanta Hawks",202,-2,78,-8.4,35,2004,"NBATeamValues04.xls",NA,NA
"142",26,"Orlando Magic",199,1,80,13.1,30,2004,"NBATeamValues04.xls",NA,NA
"143",27,"Seattle Supersonics",196,-6,70,2.4,46,2004,"NBATeamValues04.xls",NA,NA
"144",28,"Golden State Warriors",188,6,70,7.8,29,2004,"NBATeamValues04.xls",NA,NA
"145",29,"Milwaukee Bucks",174,4,70,-15.1,17,2004,"NBATeamValues04.xls",NA,NA
"146",1,"Los Angeles Lakers ",510,14,170,35.8,11,2005,"NBATeamValues05.xls",NA,NA
"147",2,"New York Knicks ",494,23,170,-14.3,51,2005,"NBATeamValues05.xls",NA,NA
"148",3,"Dallas Mavericks ",374,11,117,-33.6,39,2005,"NBATeamValues05.xls",NA,NA
"149",4,"Houston Rockets ",369,33,125,35.5,19,2005,"NBATeamValues05.xls",NA,NA
"150",5,"Chicago Bulls ",368,3,123,36.8,14,2005,"NBATeamValues05.xls",NA,NA
