"","latitude","longitude","popup","fillColor"
"42",39.9184461,-75.2590721,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Geoff Petrie</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Geoff Petrie+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Darby, PA, USA<br>Years: 6<br>PPG: 21.8<br>MPG: 37.6<br>FG: 45.5<br>APG: 4.6<br>RPG: 2.8<br>3PT Percentage: NA<br>FT Percentage: 80.5</td></tr></table>","#036c26"
"43",27.9014133,-81.5759099,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Amar'e Stoudemire</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Amar'e Stoudemire+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Lake Wales, FL, USA<br>Years: 11<br>PPG: 21.3<br>MPG: 34<br>FG: 53.4<br>APG: 1.4<br>RPG: 8.6<br>3PT Percentage: 24.4<br>FT Percentage: 76.3</td></tr></table>","#036c26"
"44",36.0726354,-79.7519754,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Lou Hudson</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Lou Hudson+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Greensboro, NC, USA<br>Years: 13<br>PPG: 20.2<br>MPG: 33.5<br>FG: 48.9<br>APG: 2.7<br>RPG: 4.4<br>3PT Percentage: NA<br>FT Percentage: 79.7</td></tr></table>","#036c26"
"45",41.0814447,-81.5170053,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Stephen Curry</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Stephen Curry+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Akron, OH, USA<br>Years: 4<br>PPG: 19.2<br>MPG: 35.3<br>FG: 46.5<br>APG: 6.1<br>RPG: 4<br>3PT Percentage: 44.6<br>FT Percentage: 90.1</td></tr></table>","#036c26"
"46",33.5481597,-86.5444288,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Charles Barkley</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Charles Barkley+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Leeds, AL, USA<br>Years: 16<br>PPG: 22.1<br>MPG: 36.7<br>FG: 54.1<br>APG: 3.9<br>RPG: 11.7<br>3PT Percentage: 26.6<br>FT Percentage: 73.5</td></tr></table>","#036c26"
"47",31.8284857,-87.3216563,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>John Drew</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=John Drew+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Vredenburgh, AL, USA<br>Years: 11<br>PPG: 20.7<br>MPG: 29.5<br>FG: 47<br>APG: 1.7<br>RPG: 6.9<br>3PT Percentage: 17.5<br>FT Percentage: 74.8</td></tr></table>","#036c26"
"48",42.329527,-83.0538538,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Chris Webber</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Chris Webber+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Detroit, MI, USA<br>Years: 15<br>PPG: 20.7<br>MPG: 37.1<br>FG: 47.9<br>APG: 4.2<br>RPG: 9.8<br>3PT Percentage: 29.9<br>FT Percentage: 64.9</td></tr></table>","#036c26"
"49",34.0928092,-118.3276614,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>George Yardley</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=George Yardley+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Hollywood, CA, USA<br>Years: 7<br>PPG: 19.2<br>MPG: 33.4<br>FG: 42.2<br>APG: 1.7<br>RPG: 8.9<br>3PT Percentage: NA<br>FT Percentage: 78</td></tr></table>","#036c26"
"50",39.768403,-86.134068,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>George McGinnis</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=George McGinnis+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Indianapolis, IN, USA<br>Years: 11<br>PPG: 20.2<br>MPG: 33.5<br>FG: 45.8<br>APG: 3.7<br>RPG: 11<br>3PT Percentage: 27.3<br>FT Percentage: 66.4</td></tr></table>","#036c26"
"51",33.7489954,-84.3769824,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>World B. Free</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=World B. Free+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Atlanta, GA, USA<br>Years: 13<br>PPG: 20.3<br>MPG: 30.4<br>FG: 45.6<br>APG: 3.7<br>RPG: 2.7<br>3PT Percentage: 33.7<br>FT Percentage: 75.3</td></tr></table>","#036c26"
