player,agency,agent,season,salary,salary_amnesty,,player
Evan Turner,FAME,David Falk,2013-2014,6679866,FALSE,,
Fab Melo,Wasserman Media Group,BJ Armstrong,2013-2014,1311240,FALSE,,
Festus Ezeli,BDA Sports Management,Bill Duffy,2013-2014,1066920,FALSE,,
Francisco Garcia,Goodwin Management Group,Aaron Goodwin,2013-2014,1265977,FALSE,,
Garrett Temple,Performance Sports Management,John Hamilton,2013-2014,916099,FALSE,,
Gary Neal,Lagardere Unlimited,David Bauman,2013-2014,TBD,FALSE,,
George Hill,Saga Sports,Bill Neff,2013-2014,8000000,FALSE,,
Gerald Green,Rival Sports Group,Colin Bryant,2013-2014,3500000,FALSE,,
Gerald Henderson,Wasserman Media Group,Arn Tellem,2013-2014,6000000,FALSE,,
Gerald Wallace,Landmark Sports Agency,Rob Pelinka,2013-2014,10105855,FALSE,,
Giannis Antetokounmpo,Octagon Athlete Representation,Alex Saratsis,2013-2014,1792560,FALSE,,
Gigi Datome,Excel Sports Management,Sam Goldfeder,2013-2014,1750000,FALSE,,
Glen Davis,Performance Sports Management,John Hamilton,2013-2014,6400000,FALSE,,
Glen Rice Jr,24/7 Sports Management,Jeff Wechsler,2013-2014,TBD,FALSE,,
Goran Dragic,BDA Sports Management,Rade Filipovich,2013-2014,7500000,FALSE,,
Gordon Hayward,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,3452183,FALSE,,
Gorgui Dieng,Wasserman Media Group,Arn Tellem,2013-2014,1352640,FALSE,,
Greg Monroe,FAME,David Falk,2013-2014,4086453,FALSE,,
Greg Oden,BDA Sports Management,Mike Conley,2013-2014,884293,FALSE,,
Greg Smith,Impact Sports Basketball,Brian Elfus,2013-2014,884293,FALSE,,
Greg Stiemsma,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,2676000,FALSE,,
Greivis Vasquez,Wasserman Media Group,Arn Tellem,2013-2014,2150188,FALSE,,
Gustavo Ayon,Duran International Sports Management,Emilio Duran,2013-2014,1500000,FALSE,,
Hamed Haddadi,Pinnacle Management Corporation,Marc Cornstein,2013-2014,200000,FALSE,,
Harrison Barnes,24/7 Sports Management,Jeff Wechsler,2013-2014,2923920,FALSE,,
Hidayet Turkoglu,Williams & Connolly,Jim Tanner,2013-2014,12000000,FALSE,,
Ian Mahinmi,Comsport,Bouna Ndiaye,2013-2014,4000000,FALSE,,
Iman Shumpert,Relativity Sports,Dan Fegan,2013-2014,1797600,FALSE,,
Isaiah Canaan,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,570515,FALSE,,
Isaiah Thomas,ASM Sports,Andy Miller,2013-2014,884293,FALSE,,
J.J. Hickson,ASM Sports,Andy Miller,2013-2014,5150000,FALSE,,
J.J. Redick,Wasserman Media Group,Arn Tellem,2013-2014,6500000,FALSE,,
J.R. Smith,Creative Artists Agency,Leon Rose,2013-2014,TBD,FALSE,,
Jae Crowder,Alliance Sports Management,Glenn Schwartzman,2013-2014,788872,FALSE,,
Jamaal Franklin,Impact Sports Basketball,Brian Elfus,2013-2014,535000,FALSE,,
Jamal Crawford,ASM Sports,Andy Miller,2013-2014,5225000,FALSE,,
James Anderson,ASM Sports,Andy Miller,2013-2014,916099,FALSE,,
James Harden,Landmark Sports Agency,Rob Pelinka,2013-2014,13668750,FALSE,,
James Johnson,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,947907,FALSE,,
James Jones,Bell Management,Joel Bell,2013-2014,1500000,FALSE,,
James Southerland,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,TBD,FALSE,,
Jan Vesely,Wasserman Media Group,Arn Tellem,2013-2014,3524880,FALSE,,
Jannero Pargo,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,1399507,FALSE,,
Jared Cunningham,Excel Sports Management,Jeff Schwartz,2013-2014,1208400,FALSE,,
Jared Dudley,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,4250000,FALSE,,
Jared Sullinger,FAME,David Falk,2013-2014,1365720,FALSE,,
Jarrett Jack,Excel Sports Management,Jeff Schwartz,2013-2014,6300000,FALSE,,
Jarvis Varnado,Impact Sports Basketball,Mitch Frankel,2013-2014,788872,FALSE,,
Jason Maxiell,ASM Sports,Andy Miller,2013-2014,2500000,FALSE,,
Jason Richardson,Relativity Sports,Dan Fegan,2013-2014,6204250,FALSE,,
Jason Smith,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,2500000,FALSE,,
Jason Terry,Wasserman Media Group,Arn Tellem,2013-2014,5225000,FALSE,,
Jason Thompson,Creative Artists Agency,Leon Rose,2013-2014,5643750,FALSE,,
JaVale McGee,Wasserman Media Group,BJ Armstrong,2013-2014,10750000,FALSE,,
Jeff Adrien,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,916099,FALSE,,
Jeff Ayres,Impact Sports Basketball,Mitch Frankel,2013-2014,1750000,FALSE,,
Jeff Green,FAME,David Falk,2013-2014,8700000,FALSE,,
Jeff Teague,ASM Sports,Andy Miller,2013-2014,8000000,FALSE,,
Jeff Withey,Wasserman Media Group,Arn Tellem,2013-2014,490180,FALSE,,
Jeffery Taylor,BDA Sports Management,Todd Ramasar,2013-2014,788872,FALSE,,
Jeremy Evans,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,1660000,FALSE,,
Jeremy Lamb,Excel Sports Management,Jeff Schwartz,2013-2014,2111160,FALSE,,
Jeremy Lin,Williams & Connolly,Jim Tanner,2013-2014,5225000,FALSE,,
Jeremy Tyler,Wasserman Media Group,Arn Tellem,2013-2014,TBD,FALSE,,
Jermaine O'Neal,Wasserman Media Group,Arn Tellem,2013-2014,2000000,FALSE,,
Jerryd Bayless,Excel Sports Management,Jeff Schwartz,2013-2014,3135000,FALSE,,
Jimmer Fredette,Octagon Athlete Representation,Chris Emens,2013-2014,2574120,FALSE,,
Jimmy Butler,Relativity Sports,Dan Fegan,2013-2014,1174080,FALSE,,
Joakim Noah,BDA Sports Management,Bill Duffy,2013-2014,12100000,FALSE,,
Jodie Meeks,Lagardere Unlimited,David Bauman,2013-2014,1550000,FALSE,,
Joe Johnson,Wasserman Media Group,Arn Tellem,2013-2014,21466718,FALSE,,
Joel Anthony,Excel Sports Management,Mike Higgins,2013-2014,3800000,FALSE,,
Joel Freeland,Elite Sports,Rafael Calvo,2013-2014,3000000,FALSE,,
John Henson,Williams & Connolly,Jim Tanner,2013-2014,1905360,FALSE,,
John Jenkins,BDA Sports Management,Bill Duffy,2013-2014,1258800,FALSE,,
John Lucas,Lee Basketball Services LTD,Bernie Lee,2013-2014,1600000,FALSE,,
John Salmons,Bell Management,Joel Bell,2013-2014,7580000,FALSE,,
John Wall,Relativity Sports,Dan Fegan,2013-2014,7459924,FALSE,,
Jon Leuer,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,900000,FALSE,,
Jonas Jerebko,The Neustadt Group,Doug Neustadt,2013-2014,4500000,FALSE,,
Jonas Valanciunas,Creative Artists Agency,Leon Rose,2013-2014,3526440,FALSE,,
Jordan Crawford,Creative Artists Agency,Aaron Mintz,2013-2014,2162418,FALSE,,
Jordan Farmar,Rival Sports Group,Tony Dutt,2013-2014,1106942,FALSE,,
Jordan Hamilton,Premier Sports,Gregory Nunn,2013-2014,1234320,FALSE,,
Jordan Henriquez,Premier Sports,Gregory Nunn,2013-2014,490180,FALSE,,
Jordan Hill,BDA Sports Management,Kevin Bradbury,2013-2014,3500000,FALSE,,
Jose Juan Barea,Relativity Sports,Dan Fegan,2013-2014,4687000,FALSE,,
